PLAYER_NAME,DribbleRange/0 Dribbles/FGA_FREQUENCY,DribbleRange/1 Dribble/FGA_FREQUENCY,DribbleRange/2 Dribbles/FGA_FREQUENCY,DribbleRange/3-6 Dribbles/FGA_FREQUENCY,DribbleRange/7+ Dribbles/FGA_FREQUENCY
Raul Neto,0.35,0.11,0.15,0.26,0.13
Clint Capela,0.84,0.12,0.03,0.02
James Ennis,0.6,0.15,0.11,0.14
Jerian Grant,0.25,0.15,0.1,0.29,0.22
Seth Curry,0.45,0.1,0.1,0.14,0.22
John Henson,0.63,0.3,0.07,0.01
Tristan Thompson,0.74,0.18,0.06,0.03
Mike Scott,0.83,0.13,0.02,0.02,0.0
Metta World Peace,0.53,0.17,0.11,0.16,0.03
Boris Diaw,0.42,0.15,0.11,0.27,0.04
Roy Hibbert,0.7,0.15,0.07,0.08
Channing Frye,0.87,0.08,0.05,0.01
Thabo Sefolosha,0.66,0.14,0.08,0.1,0.02
Festus Ezeli,0.8,0.15,0.04,0.01
Trevor Booker,0.69,0.16,0.08,0.07,0.0
Anthony Morrow,0.64,0.15,0.11,0.1,0.0
Tyler Zeller,0.82,0.1,0.05,0.02,0.0
Shaun Livingston,0.28,0.15,0.11,0.33,0.13
Cameron Payne,0.29,0.12,0.08,0.18,0.33
Ronnie Price,0.53,0.12,0.09,0.18,0.08
Brandon Bass,0.65,0.23,0.07,0.06
Norman Powell,0.43,0.15,0.13,0.25,0.05
Larry Nance Jr.,0.77,0.15,0.05,0.02
Rondae Hollis-Jefferson,0.51,0.13,0.17,0.14,0.04
Tyson Chandler,0.83,0.12,0.03,0.02
Timofey Mozgov,0.83,0.1,0.05,0.03,0.0
Aron Baynes,0.89,0.08,0.02,0.01
Lavoy Allen,0.88,0.07,0.05,0.01
Anthony Tolliver,0.93,0.05,0.01,0.0
Tim Frazier,0.17,0.11,0.11,0.3,0.32
Joakim Noah,0.74,0.1,0.13,0.04
Chris McCullough,0.67,0.23,0.08,0.02
Sasha Vujacic,0.69,0.12,0.09,0.08,0.02
Beno Udrih,0.28,0.17,0.11,0.21,0.23
JJ Hickson,0.67,0.17,0.08,0.08
Jonathon Simmons,0.4,0.14,0.17,0.2,0.09
Richaun Holmes,0.79,0.17,0.03,0.01
Troy Daniels,0.71,0.13,0.1,0.04,0.03
Marcelo Huertas,0.24,0.13,0.16,0.21,0.26
JaKarr Sampson,0.45,0.26,0.15,0.13,0.01
Justin Holiday,0.54,0.15,0.15,0.15,0.02
Tyus Jones,0.25,0.13,0.07,0.21,0.34
Anthony Brown,0.62,0.1,0.17,0.1,0.01
Jarell Martin,0.63,0.25,0.09,0.03
Tiago Splitter,0.63,0.2,0.09,0.09
Dwight Powell,0.87,0.11,0.02,0.0
Amar'e Stoudemire,0.75,0.13,0.06,0.06
Kevin Seraphin,0.53,0.21,0.19,0.07,0.01
James Johnson,0.41,0.15,0.17,0.24,0.03
Richard Jefferson,0.67,0.16,0.11,0.05,0.01
Kyle O'Quinn,0.76,0.13,0.08,0.03,0.0
CJ Watson,0.37,0.15,0.11,0.22,0.15
Steve Blake,0.45,0.09,0.06,0.16,0.24
Ryan Kelly,0.6,0.14,0.15,0.11
Thomas Robinson,0.63,0.18,0.11,0.08,0.01
Ed Davis,0.73,0.18,0.06,0.03
Tyler Ennis,0.27,0.07,0.14,0.27,0.25
Andrew Bogut,0.74,0.18,0.06,0.02
JaVale McGee,0.77,0.13,0.09,0.02
Andre Roberson,0.77,0.18,0.03,0.03
Nemanja Bjelica,0.68,0.14,0.09,0.07,0.02
Kendall Marshall,0.44,0.04,0.09,0.22,0.21
Miles Plumlee,0.66,0.29,0.03,0.02
Kyle Anderson,0.29,0.19,0.18,0.28,0.06
Rashad Vaughn,0.66,0.16,0.12,0.06,0.01
Cole Aldrich,0.84,0.13,0.03,0.01
John Jenkins,0.43,0.21,0.09,0.19,0.08
Jonas Jerebko,0.73,0.16,0.09,0.03
Shabazz Napier,0.32,0.14,0.09,0.22,0.23
Quincy Acy,0.83,0.11,0.06,0.01
Chase Budinger,0.63,0.15,0.12,0.09,0.01
Brandon Rush,0.66,0.15,0.11,0.08,0.01
Joe Ingles,0.64,0.19,0.08,0.09,0.01
Noah Vonleh,0.68,0.14,0.1,0.07,0.01
Ray McCallum,0.41,0.09,0.09,0.21,0.2
Josh McRoberts,0.6,0.11,0.13,0.15,0.02
Solomon Hill,0.57,0.11,0.13,0.19
James Anderson,0.53,0.1,0.15,0.17,0.05
Bismack Biyombo,0.82,0.13,0.03,0.03
Alonzo Gee,0.5,0.24,0.12,0.14
Darrun Hilliard,0.47,0.13,0.17,0.21,0.02
Drew Gooden,0.73,0.14,0.09,0.04,0.01
Willie Reed,0.84,0.12,0.02,0.03
Glenn Robinson,0.54,0.16,0.15,0.13,0.02
Kelly Oubre,0.55,0.1,0.13,0.14,0.07
Phil Pressey,0.12,0.08,0.07,0.39,0.35
Axel Toupane,0.84,0.11,0.04
Kyle Singler,0.74,0.14,0.09,0.04
Jeff Withey,0.87,0.1,0.03
Johnny O'Bryant,0.69,0.2,0.07,0.03,0.01
Justin Anderson,0.56,0.14,0.14,0.11,0.04
Kevin Garnett,0.73,0.26,0.01
Dewayne Dedmon,0.8,0.15,0.03,0.02
Robert Sacre,0.73,0.11,0.13,0.03
Tayshaun Prince,0.64,0.14,0.09,0.11,0.02
Omer Asik,0.84,0.12,0.03,0.02
Kirk Hinrich,0.32,0.12,0.15,0.26,0.16
Luc Mbah a Moute,0.7,0.18,0.08,0.04
Chris Johnson,0.6,0.16,0.13,0.12
Tarik Black,0.68,0.24,0.05,0.02,0.01
Chris Andersen,0.83,0.13,0.03,0.01
Reggie Bullock,0.77,0.05,0.14,0.04
Andre Miller,0.21,0.12,0.16,0.27,0.24
Kostas Papanikolaou,0.55,0.14,0.2,0.09,0.03
Sonny Weems,0.57,0.15,0.11,0.14,0.04
Pablo Prigioni,0.33,0.12,0.1,0.18,0.27
Cristiano Felicio,0.83,0.11,0.04,0.01
Salah Mejri,0.85,0.08,0.05,0.03
Jason Thompson,0.64,0.17,0.11,0.06,0.02
Lamar Patterson,0.71,0.06,0.08,0.1,0.05
Ryan Hollins,0.8,0.14,0.05,0.01
Kendrick Perkins,0.61,0.2,0.08,0.11
Nick Collison,0.75,0.19,0.06
Sergey Karasev,0.7,0.14,0.07,0.08,0.01
