type,name,value,actual_value
tacklePerGame,"Marcos Rojo, Defender",62.5,1.47
interceptionPerGame,"Marcos Rojo, Defender",66.67,1.53
foulsPerGame,"Marcos Rojo, Defender",79.17,1.13
offsideWonPerGame,"Marcos Rojo, Defender",91.67,0.27
clearancePerGame,"Marcos Rojo, Defender",95.83,7.53
wasDribbledPerGame,"Marcos Rojo, Defender",54.17,0.47
outfielderBlockPerGame,"Marcos Rojo, Defender",83.33,0.33
defensive_rating,"Marcos Rojo, Defender",75.0,7.2
keyPassPerGame,"Marcos Rojo, Defender",41.67,0.33
dribbleWonPerGame,"Marcos Rojo, Defender",62.5,0.6
foulGivenPerGame,"Marcos Rojo, Defender",20.83,0.27
offsideGivenPerGame,"Marcos Rojo, Defender",41.67,0.0
dispossessedPerGame,"Marcos Rojo, Defender",16.67,0.0
turnoverPerGame,"Marcos Rojo, Defender",29.17,0.27
offensive_rating,"Marcos Rojo, Defender",75.0,7.2
totalPassesPerGame,"Marcos Rojo, Defender",79.17,46.93
accurateCrossesPerGame,"Marcos Rojo, Defender",45.83,0.07
accurateLongPassPerGame,"Marcos Rojo, Defender",83.33,3.33
accurateThroughBallPerGame,"Marcos Rojo, Defender",70.83,0.0
passing_rating,"Marcos Rojo, Defender",75.0,7.2
shotSixYardBox,"Marcos Rojo, Defender",62.5,0.0
shotPenaltyArea,"Marcos Rojo, Defender",58.33,0.4
shotOboxTotal,"Marcos Rojo, Defender",58.33,0.27
shotsTotal,"Marcos Rojo, Defender",58.33,0.67
detailed_rating,"Marcos Rojo, Defender",75.0,7.2
goal,"Eric Bailly, Defender",62.5,0.0
assistTotal,"Eric Bailly, Defender",50.0,0.0
shotsPerGame,"Eric Bailly, Defender",33.33,0.21
aerialWonPerGame,"Eric Bailly, Defender",70.83,1.36
manOfTheMatch,"Eric Bailly, Defender",75.0,0.0
passSuccess,"Eric Bailly, Defender",70.83,87.38
all_rating,"Eric Bailly, Defender",70.83,7.17
goalOwn,"Eric Bailly, Defender",95.83,0.0
tacklePerGame,"Eric Bailly, Defender",91.67,2.36
interceptionPerGame,"Eric Bailly, Defender",91.67,2.43
foulsPerGame,"Eric Bailly, Defender",75.0,1.0
offsideWonPerGame,"Eric Bailly, Defender",100.0,0.57
clearancePerGame,"Eric Bailly, Defender",87.5,5.36
wasDribbledPerGame,"Eric Bailly, Defender",50.0,0.43
outfielderBlockPerGame,"Eric Bailly, Defender",95.83,0.43
defensive_rating,"Eric Bailly, Defender",70.83,7.17
keyPassPerGame,"Eric Bailly, Defender",20.83,0.07
dribbleWonPerGame,"Eric Bailly, Defender",50.0,0.57
foulGivenPerGame,"Eric Bailly, Defender",45.83,0.64
offsideGivenPerGame,"Eric Bailly, Defender",41.67,0.0
dispossessedPerGame,"Eric Bailly, Defender",33.33,0.14
turnoverPerGame,"Eric Bailly, Defender",50.0,0.57
offensive_rating,"Eric Bailly, Defender",70.83,7.17
totalPassesPerGame,"Eric Bailly, Defender",58.33,36.21
accurateCrossesPerGame,"Eric Bailly, Defender",41.67,0.0
accurateLongPassPerGame,"Eric Bailly, Defender",75.0,2.71
accurateThroughBallPerGame,"Eric Bailly, Defender",70.83,0.0
passing_rating,"Eric Bailly, Defender",70.83,7.17
shotSixYardBox,"Eric Bailly, Defender",62.5,0.0
shotPenaltyArea,"Eric Bailly, Defender",37.5,0.14
shotOboxTotal,"Eric Bailly, Defender",37.5,0.07
shotsTotal,"Eric Bailly, Defender",33.33,0.21
detailed_rating,"Eric Bailly, Defender",70.83,7.17
goal,"Henrikh Mkhitaryan, Midfielder",87.5,3.0
assistTotal,"Henrikh Mkhitaryan, Midfielder",62.5,1.0
shotsPerGame,"Henrikh Mkhitaryan, Midfielder",91.67,1.87
aerialWonPerGame,"Henrikh Mkhitaryan, Midfielder",50.0,0.67
manOfTheMatch,"Henrikh Mkhitaryan, Midfielder",83.33,1.0
passSuccess,"Henrikh Mkhitaryan, Midfielder",37.5,84.47
all_rating,"Henrikh Mkhitaryan, Midfielder",66.67,7.14
goalOwn,"Henrikh Mkhitaryan, Midfielder",95.83,0.0
tacklePerGame,"Henrikh Mkhitaryan, Midfielder",58.33,1.27
interceptionPerGame,"Henrikh Mkhitaryan, Midfielder",54.17,1.13
foulsPerGame,"Henrikh Mkhitaryan, Midfielder",66.67,0.93
offsideWonPerGame,"Henrikh Mkhitaryan, Midfielder",62.5,0.0
clearancePerGame,"Henrikh Mkhitaryan, Midfielder",41.67,0.67
wasDribbledPerGame,"Henrikh Mkhitaryan, Midfielder",79.17,0.93
outfielderBlockPerGame,"Henrikh Mkhitaryan, Midfielder",33.33,0.0
defensive_rating,"Henrikh Mkhitaryan, Midfielder",66.67,7.14
keyPassPerGame,"Henrikh Mkhitaryan, Midfielder",91.67,1.73
dribbleWonPerGame,"Henrikh Mkhitaryan, Midfielder",87.5,1.33
foulGivenPerGame,"Henrikh Mkhitaryan, Midfielder",87.5,1.07
offsideGivenPerGame,"Henrikh Mkhitaryan, Midfielder",95.83,0.47
dispossessedPerGame,"Henrikh Mkhitaryan, Midfielder",100.0,2.13
turnoverPerGame,"Henrikh Mkhitaryan, Midfielder",87.5,1.4
offensive_rating,"Henrikh Mkhitaryan, Midfielder",66.67,7.14
totalPassesPerGame,"Henrikh Mkhitaryan, Midfielder",45.83,32.2
accurateCrossesPerGame,"Henrikh Mkhitaryan, Midfielder",79.17,0.53
accurateLongPassPerGame,"Henrikh Mkhitaryan, Midfielder",41.67,0.93
accurateThroughBallPerGame,"Henrikh Mkhitaryan, Midfielder",95.83,0.33
passing_rating,"Henrikh Mkhitaryan, Midfielder",66.67,7.14
shotSixYardBox,"Henrikh Mkhitaryan, Midfielder",62.5,0.0
shotPenaltyArea,"Henrikh Mkhitaryan, Midfielder",87.5,1.2
shotOboxTotal,"Henrikh Mkhitaryan, Midfielder",79.17,0.67
shotsTotal,"Henrikh Mkhitaryan, Midfielder",91.67,1.87
detailed_rating,"Henrikh Mkhitaryan, Midfielder",66.67,7.14
goal,"Juan Mata, Midfielder",95.83,6.0
assistTotal,"Juan Mata, Midfielder",79.17,2.0
shotsPerGame,"Juan Mata, Midfielder",87.5,1.8
aerialWonPerGame,"Juan Mata, Midfielder",25.0,0.15
manOfTheMatch,"Juan Mata, Midfielder",83.33,1.0
passSuccess,"Juan Mata, Midfielder",95.83,90.33
all_rating,"Juan Mata, Midfielder",62.5,7.1
goalOwn,"Juan Mata, Midfielder",100.0,1.0
tacklePerGame,"Juan Mata, Midfielder",45.83,0.95
interceptionPerGame,"Juan Mata, Midfielder",33.33,0.5
foulsPerGame,"Juan Mata, Midfielder",33.33,0.4
offsideWonPerGame,"Juan Mata, Midfielder",62.5,0.0
clearancePerGame,"Juan Mata, Midfielder",25.0,0.25
wasDribbledPerGame,"Juan Mata, Midfielder",70.83,0.7
outfielderBlockPerGame,"Juan Mata, Midfielder",33.33,0.0
defensive_rating,"Juan Mata, Midfielder",62.5,7.1
keyPassPerGame,"Juan Mata, Midfielder",87.5,1.65
dribbleWonPerGame,"Juan Mata, Midfielder",62.5,0.6
foulGivenPerGame,"Juan Mata, Midfielder",58.33,0.7
offsideGivenPerGame,"Juan Mata, Midfielder",91.67,0.35
dispossessedPerGame,"Juan Mata, Midfielder",66.67,0.6
turnoverPerGame,"Juan Mata, Midfielder",58.33,0.8
offensive_rating,"Juan Mata, Midfielder",62.5,7.1
totalPassesPerGame,"Juan Mata, Midfielder",70.83,39.3
accurateCrossesPerGame,"Juan Mata, Midfielder",87.5,0.9
accurateLongPassPerGame,"Juan Mata, Midfielder",62.5,1.9
accurateThroughBallPerGame,"Juan Mata, Midfielder",83.33,0.15
passing_rating,"Juan Mata, Midfielder",62.5,7.1
shotSixYardBox,"Juan Mata, Midfielder",83.33,0.1
shotPenaltyArea,"Juan Mata, Midfielder",95.83,1.3
shotOboxTotal,"Juan Mata, Midfielder",70.83,0.4
shotsTotal,"Juan Mata, Midfielder",87.5,1.8
detailed_rating,"Juan Mata, Midfielder",62.5,7.1
goal,"Matteo Darmian, Defender",62.5,0.0
assistTotal,"Matteo Darmian, Defender",50.0,0.0
shotsPerGame,"Matteo Darmian, Defender",29.17,0.2
aerialWonPerGame,"Matteo Darmian, Defender",75.0,1.4
manOfTheMatch,"Matteo Darmian, Defender",75.0,0.0
passSuccess,"Matteo Darmian, Defender",25.0,80.52
all_rating,"Matteo Darmian, Defender",58.33,7.0
goalOwn,"Matteo Darmian, Defender",95.83,0.0
tacklePerGame,"Matteo Darmian, Defender",95.83,2.5
interceptionPerGame,"Matteo Darmian, Defender",95.83,2.6
foulsPerGame,"Matteo Darmian, Defender",75.0,1.0
offsideWonPerGame,"Matteo Darmian, Defender",75.0,0.1
clearancePerGame,"Matteo Darmian, Defender",79.17,4.4
wasDribbledPerGame,"Matteo Darmian, Defender",100.0,2.0
outfielderBlockPerGame,"Matteo Darmian, Defender",50.0,0.1
defensive_rating,"Matteo Darmian, Defender",58.33,7.0
keyPassPerGame,"Matteo Darmian, Defender",33.33,0.2
dribbleWonPerGame,"Matteo Darmian, Defender",37.5,0.2
foulGivenPerGame,"Matteo Darmian, Defender",75.0,0.9
offsideGivenPerGame,"Matteo Darmian, Defender",50.0,0.1
dispossessedPerGame,"Matteo Darmian, Defender",66.67,0.6
turnoverPerGame,"Matteo Darmian, Defender",25.0,0.2
offensive_rating,"Matteo Darmian, Defender",58.33,7.0
totalPassesPerGame,"Matteo Darmian, Defender",54.17,34.9
accurateCrossesPerGame,"Matteo Darmian, Defender",66.67,0.4
