Player,Pos,OTm,NTm,圻N,圻W,Number of Records,��N,��W,WS,Stop,Path Name
George Hill,G,UTA,SAC,40.25555556,-121.1666667,1,38.19444444,-121.1666667,5.854333333,1,George Hill！SAC
Nick Young,G-F,LAL,GSW,34.01666667,-122.0888889,1,37.26666667,-122.0888889,3.176833333,1,Nick Young！GSW
Tyreke Evans,G-F,SAC,MEM,38.19444444,-90.01666667,1,35.05,-90.01666667,0.523375,1,Tyreke Evans！MEM
Justin Holiday,G,NYK,CHI,40.26111111,-87.20555556,1,41.27777778,-87.20555556,2.492645833,1,Justin Holiday！CHI
Vince Carter,G-F,MEM,SAC,35.05,-121.1666667,1,38.19444444,-121.1666667,3.972791667,1,Vince Carter！SAC
Kelly Olynyk,C-F,BOS,MIA,42.11666667,-80.06666667,1,25.25555556,-80.06666667,4.069291667,1,Kelly Olynyk！MIA
Langston Galloway,G,SAC,DET,38.19444444,-83.01666667,1,42.11111111,-83.01666667,1.213333333,1,Langston Galloway！DET
Michael Carter-Williams,G,CHI,CHO,41.27777778,-80.27777778,1,35.07777778,-80.27777778,0.229125,1,Michael Carter-Williams！CHO
Mike Muscala,F-C,ATL,ATL,33.25,-84.12777778,1,33.25,-84.12777778,3.40175,1,Mike Muscala！ATL
Darren Collison,G,SAC,IND,38.19444444,-86.05555556,1,39.25555556,-86.05555556,3.911104167,1,Darren Collison！IND
Jeff Green,F,ORL,CLE,28.5383,-81.20555556,1,41.15555556,-81.20555556,0.703083333,1,Jeff Green！CLE
Serge Ibaka,F-C,TOR,TOR,43.22222222,-79.13333333,1,43.22222222,-79.13333333,3.8475,1,Serge Ibaka！TOR
Kyle Korver,G-F,CLE,CLE,41.15555556,-81.20555556,1,41.15555556,-81.20555556,1.639,1,Kyle Korver！CLE
Jodie Meeks,G,ORL,WAS,28.5383,-77.01111111,1,38.29444444,-77.01111111,1.122375,1,Jodie Meeks！WAS
Danilo Gallinari,F,DEN,LAC,39.25,-118.0833333,1,34.01666667,-118.0833333,6.846583333,1,Danilo Gallinari！LAC
