PLAYER,MP,POS,Old Team,New Team,16-17 WS
Cory Joseph,2003,PG,TOR,IND,3.421791667
Tarik Black,1091,C,LAL,HOU,2.3865625
Luc Mbah A Moute,1787,SF,LAC,HOU,3.12725
Nene Hilario,1198,C,HOU,HOU,4.118125
Chris Paul,1921,PG,LAC,HOU,10.5655
P.J. Tucker,1627,SF,TOR,HOU,2.3388125
Troy Williams,139,SF,HOU,HOU,0.335916667
Demetrius Jackson,17,PG,BOS,HOU,0.136708333
Omri Casspi,222,SF,MIN,GSW,0.148
Stephen Curry,2638,PG,GSW,GSW,12.58545833
Kevin Durant,2070,SF,GSW,GSW,11.98875
Andre Iguodala,1998,SF,GSW,GSW,6.951375
Shaun Livingston,1345,PG,GSW,GSW,2.6059375
Zaza Pachulia,1268,C,GSW,GSW,4.702166667
David West,854,C,GSW,GSW,2.633166667
Nick Young,1556,SG,LAL,GSW,3.176833333
JaVale McGee,739,C,GSW,GSW,3.4640625
Reggie Bullock,467,SF,DET,DET,0.982645833
Langston Galloway,1120,PG,SAC,DET,1.213333333
Eric Moreland,#N/A,#N/A,SAC,DET,#N/A
Anthony Tolliver,1477,PF,SAC,DET,2.3078125
Avery Bradley,1835,SG,BOS,DET,3.0965625
Paul Millsap,2343,PF,ATL,DEN,6.44325
Yogi Ferrell,151,PG,DAL,DAL,-0.157291667
Dirk Nowitzki,1424,PF,DAL,DAL,2.492
Jose Calderon,247,PG,ATL,CLE,0.2624375
Jeff Green,1534,PF,ORL,CLE,0.703083333
Kyle Korver,894,SG,CLE,CLE,1.639
Derrick Rose,2082,PG,NYK,CLE,2.9495
Dwight Howard,2199,C,ATL,CHO,8.2920625
Michael Carter-Williams,846,PG,CHI,CHO,0.229125
Cristiano Felicio,1040,C,CHI,CHI,3.423333333
Justin Holiday,1639,SG,NYK,CHI,2.492645833
David Nwaba,397,SG,LAL,CHI,0.752645833
Dwyane Wade,1792,SG,CHI,CHI,3.36
Kris Dunn,1333,PG,MIN,CHI,0.111083333
Zach LaVine,1749,SG,MIN,CHI,2.987875
DeMarre Carroll,1882,SF,TOR,BRK,3.803208333
Timofey Mozgov,1104,C,LAL,BRK,1.104
D'Angelo Russell,1811,PG,LAL,BRK,1.2450625
Aron Baynes,1163,C,DET,BOS,2.9801875
Gordon Hayward,2516,SF,UTA,BOS,10.43091667
Marcus Morris,2565,SF,DET,BOS,3.8475
Allen Crabbe,2254,SG,POR,BKN,4.179291667
Nicolas Brussino,521,SF,DAL,ATL,0.596979167
Dewayne Dedmon,1330,C,SAS,ATL,5.236875
Ersan Ilyasova,633,PF,ATL,ATL,1.397875
Mike Muscala,1237,C,ATL,ATL,3.40175
Marco Belinelli,1778,SG,CHO,ATL,3.222625
Miles Plumlee,174,C,CHO,ATL,0.315375
Lavoy Allen,871,PF,IND,---,1.6875625
Tony Allen,1914,SG,MEM,---,3.070375
Chris Andersen,114,C,CHO,---,0.24225
Alan Anderson,308,SF,LAC,---,0.128333333
Joel Anthony,122,C,SAS,---,0.358375
Luke Babbitt,1065,SF,MIA,---,1.7971875
Leandro Barbosa,963,SG,PHX,---,0.6219375
Matt Barnes,410,SF,GSW,---,0.982291667
Brandon Bass,577,PF,LAC,---,2.235875
Michael Beasley,935,PF,MIL,---,1.792083333
Andrew Bogut,1,C,CLE,---,0.000416667
Aaron Brooks,894,PG,IND,---,0.298
Bobby Brown,123,PG,HOU,---,0.1025
Trey Burke,703,PG,WAS,---,0.52725
Isaiah Canaan,592,SG,CHI,---,0.518
Rakeem Christmas,219,PF,IND,---,0.4516875
Ian Clark,1137,SG,GSW,---,2.3450625
Norris Cole,125,PG,OKC,---,-0.0859375
Dante Cunningham,1649,SF,NOP,---,3.023166667
Boris Diaw,1283,PF,UTA,---,1.095895833
Mike Dunleavy,475,SF,ATL,---,1.1875
Monta Ellis,1998,SG,IND,---,1.08225
Festus Ezeli,#N/A,#N/A,POR,---,#N/A
Randy Foye,1284,SG,BKN,---,0.1605
Michael Gbinije,32,SG,DET,---,-0.090666667
Archie Goodwin,184,SG,BKN,---,0.502166667
Gerald Green,538,SF,BOS,---,0.560416667
JaMychal Green,2101,PF,MEM,---,5.77775
Justin Hamilton,1177,C,TOR,---,2.05975
Gerald Henderson,1667,SG,PHI,---,2.049020833
Roy Hibbert,671,C,DEN,---,1.8033125
Jordan Hill,47,C,MIN,---,-0.0323125
Darrun Hilliard,381,SG,LAC,---,-0.2143125
Kris Humphries,689,PF,ATL,---,1.650729167
Brandon Jennings,1428,PG,WAS,---,1.547
Dahntay Jones,12,SF,CLE,---,-0.0075
James Jones,381,SF,CLE,---,0.809625
Terrence Jones,6,PF,MIL,---,-0.039
Ryan Kelly,110,PF,ATL,---,0.066458333
Ty Lawson,1732,PG,SAC,---,3.175333333
David Lee,1477,PF,SAS,---,5.723375
Alex Len,1560,C,PHX,---,2.9575
James Michael McAdoo,457,PF,GSW,---,1.1139375
K.J. McDaniels,293,SF,BKN,---,0.280791667
Jordan McRae,384,SG,CLE,---,0.16
Jordan Mickey,141,PF,BOS,---,0.10575
Mike Miller,151,SF,DEN,---,0.056625
Nikola Mirotic,1679,PF,CHI,---,3.742770833
Anthony Morrow,87,SG,CHI,---,0.344375
Donatas Motiejunas,479,PF,NOP,---,0.159666667
Shabazz Muhammad,1516,SF,MIN,---,2.716166667
Maurice Ndour,331,PF,NYK,---,0.406854167
Georges Niang,93,PF,IND,---,-0.3255
Nerlens Noel,483,C,DAL,---,1.791125
Adreian Payne,135,PF,MIN,---,0.241875
Marshall Plumlee,170,C,NYK,---,0.17
Mason Plumlee,632,C,DEN,---,1.408833333
Alex Poythress,157,PF,PHI,---,0.3238125
Ronnie Price,134,PG,PHX,---,0.005583333
Brian Roberts,416,PG,CHO,---,0.242666667
Thomas Robinson,560,PF,LAL,---,0.921666667
Sergio Rodriguez,1518,PG,PHI,---,0.727375
Damjan Rudez,314,SF,ORL,---,0.052333333
Brandon Rush,1030,SG,MIN,---,0.407708333
Luis Scola,461,PF,BKN,---,0.787541667
Tiago Splitter,76,C,PHI,---,0.114
Rodney Stuckey,696,PG,IND,---,-0.087
Jared Sullinger,118,PF,PHX,---,-0.076208333
Jason Terry,1365,SG,MIL,---,2.1328125
Marcus Thornton,575,SG,BKN,---,0.503125
Beno Udrih,560,PG,DET,---,1.318333333
Sasha Vujacic,408,SG,NYK,---,0.119
C.J. Watson,1012,PG,ORL,---,0.864416667
C.J. Wilcox,108,SG,ORL,---,-0.2025
Deron Williams,486,PG,CLE,---,0.597375
Derrick Williams,427,PF,CLE,---,0.765041667
Kyle Wiltjer,44,PF,LAC,---,-0.03575
Jeff Withey,432,C,UTA,---,1.845
Christian Wood,107,PF,CHO,---,0.278645833
Metta World Peace,160,SF,LAL,---,-0.203333333
James Young,220,SG,BOS,---,0.348333333
Tyler Zeller,525,C,BOS,---,1.028125
Stephen Zimmerman,108,C,ORL,---,-0.01125
