Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,WS,OBPM,DBPM,BPM,VORP
128,Dante Exum,PG,21,UTA,66,1228,8.5,0.521,0.41,0.201,2.9,9.3,6.2,14.1,0.9,0.8,16.8,18.1,-0.1,1.3,0.046,1.176833333,-2,-0.5,-2.5,-0.1
131,Derrick Favors,PF,25,UTA,50,1186,15.8,0.512,0.024,0.261,9.2,20.2,14.9,7.9,2,2.7,11.4,20.7,0.5,2.2,0.109,2.693208333,-2.4,2.3,-0.1,0.6
155,Rudy Gobert,C,24,UTA,81,2744,23.3,0.681,0.002,0.762,13.6,29.5,21.8,5.7,0.9,6.4,15,16.7,8.3,6,0.25,14.29166667,1.4,4.5,5.8,5.4
185,Gordon Hayward,SF,26,UTA,73,2516,22.2,0.595,0.324,0.371,2.3,15.4,9,18.2,1.5,0.6,9.4,27.6,7.1,3.3,0.199,10.43091667,4.2,0,4.2,4
194,George Hill,PG,30,UTA,49,1544,19.3,0.599,0.384,0.323,1.8,10.5,6.2,22.8,1.7,0.6,10.9,23.5,4,1.9,0.182,5.854333333,3.9,-0.2,3.6,2.2
202,Rodney Hood,SG,24,UTA,59,1593,12.4,0.522,0.461,0.173,1.2,13.1,7.3,10.1,1.3,0.6,8.3,22.9,0.7,1.9,0.078,2.588625,-0.3,-0.9,-1.2,0.3
213,Joe Ingles,SF,29,UTA,82,1972,12.4,0.604,0.619,0.151,1.4,13.6,7.6,17.2,2.6,0.3,18.2,13.9,2,3,0.123,5.05325,0.9,1.8,2.7,2.3
229,Joe Johnson,SF,35,UTA,78,1843,12.8,0.542,0.412,0.123,2.1,12.8,7.6,12.6,1,0.8,9.5,18.5,1.7,2.1,0.099,3.8011875,-0.2,-0.1,-0.3,0.8
277,Trey Lyles,PF,21,UTA,71,1158,9.9,0.464,0.465,0.18,4.9,18.1,11.7,9.5,1.2,1.4,11.9,21.7,-0.9,1.6,0.031,0.747875,-3,-0.1,-3,-0.3
278,Shelvin Mack,PG,26,UTA,55,1205,10.9,0.518,0.315,0.202,2,9.8,6,20.4,1.8,0.2,17.8,19.6,-0.1,1.5,0.054,1.355625,-1.7,-0.1,-1.8,0.1
325,Raul Neto,PG,24,UTA,40,346,10.7,0.527,0.341,0.099,1.4,8.4,5,15.1,3.2,1.2,13.6,14.8,0.2,0.6,0.1,0.720833333,-1.7,1.4,-0.3,0.1
473,Jeff Withey,C,26,UTA,51,432,18.8,0.588,0.01,0.466,14.3,17.9,16.2,2.5,1.9,6,10.1,14.9,1,0.9,0.205,1.845,-1.2,2.7,1.6,0.4
36,Bradley Beal,SG,23,WAS,77,2684,20.1,0.604,0.418,0.259,2.2,7.8,5,16.2,1.5,0.7,9.6,26.5,6.9,1.6,0.152,8.499333333,4.5,-2.3,2.2,2.8
50,Bojan Bogdanovic,SF,27,WAS,26,601,14.7,0.617,0.491,0.325,2.6,12.3,7.5,5.2,0.8,0.6,12.4,22.2,0.9,0.3,0.103,1.289645833,0.6,-3.1,-2.6,-0.1
64,Trey Burke,PG,24,WAS,57,703,10.8,0.532,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.3,0.3,0.036,0.52725,-2.3,-3.4,-5.7,-0.7
159,Marcin Gortat,C,32,WAS,82,2556,15.4,0.593,0.003,0.236,10.6,26.8,18.7,6.8,0.8,2,13.8,14.7,3.9,2.9,0.127,6.76275,-0.9,1.2,0.3,1.5
204,Danuel House,SG,23,WAS,1,1,12.2,,,,0,100,56.4,0,0,0,,0,0,0,0.163,0.003395833,-16.4,-4.4,-20.8,0
224,Brandon Jennings,PG,27,WAS,23,374,9.7,0.357,0.491,0.16,2.4,10.8,6.6,37.2,2,0,16.2,15.8,-0.1,0.3,0.025,0.194791667,-2.6,-2.1,-4.7,-0.3
279,Ian Mahinmi,C,30,WAS,31,555,14.1,0.601,0,0.676,9.6,20.8,15.2,4.7,2.9,3.6,19.1,14,0.5,0.9,0.123,1.4221875,-2.1,2.9,0.8,0.4
287,Sheldon McClellan,SG,24,WAS,30,287,10.1,0.518,0.4,0.36,1.6,11.7,6.7,7,1.4,0.6,5.4,14,0.3,0.2,0.076,0.454416667,-2.1,-1.4,-3.6,-0.1
290,Chris McCullough,PF,21,WAS,2,8,1.1,0.266,1,2,0,28.1,14.1,0,6.2,0,34.7,15.7,0,0,-0.162,-0.027,-11.8,0.3,-11.5,0
311,Markieff Morris,PF,27,WAS,76,2374,13.7,0.54,0.22,0.242,5.1,18.2,11.7,7.8,1.7,1.5,11.6,20.5,1.6,2.5,0.083,4.105041667,-1.3,0.3,-1,0.6
327,Andrew Nicholson,PF,27,WAS,28,231,6.3,0.425,0.208,0.156,5.4,11.2,8.3,4.2,2.3,2.2,11.8,17.6,-0.3,0.3,-0.014,-0.067375,-5.5,-0.3,-5.7,-0.2
337,Daniel Ochefu,C,23,WAS,19,75,6.6,0.43,0,0.074,7.6,25.4,16.5,5.8,1.3,0,9.7,18,-0.1,0.1,0.005,0.0078125,-6.5,-1.9,-8.4,-0.1
343,Kelly Oubre,SF,21,WAS,79,1605,9.1,0.516,0.425,0.224,4.3,14,9.2,4,1.8,0.9,9.3,14.6,0.6,1.5,0.061,2.0396875,-1.8,-0.5,-2.3,-0.1
361,Otto Porter,SF,23,WAS,80,2605,17.3,0.628,0.425,0.148,5.1,17.1,11.1,6.7,2.2,1.3,4.9,15.1,6.4,3,0.173,9.388854167,3,0.9,3.9,3.9
393,Tomas Satoransky,SG,25,WAS,57,719,8.5,0.477,0.252,0.224,3.9,9.1,6.5,16.7,1.8,0.7,19,12.1,0.1,0.5,0.04,0.599166667,-2.9,-0.2,-3.1,-0.2
408,Jason Smith,C,30,WAS,74,1068,13.6,0.598,0.237,0.155,6.8,20.4,13.6,5,1,4.2,14.2,16.7,1,1.3,0.103,2.29175,-2,0.6,-1.4,0.2
429,Marcus Thornton,SG,29,WAS,33,575,10.4,0.494,0.381,0.129,4.3,10.5,7.5,10.1,1.6,0.4,10.1,18.7,0.1,0.4,0.042,0.503125,-1.6,-1.5,-3.2,-0.2
452,John Wall,PG,26,WAS,78,2836,23.2,0.541,0.19,0.367,2.4,10.6,6.5,46.9,2.7,1.4,16.2,30.6,5.8,3,0.149,8.803416667,3.8,0.2,4.1,4.3
