PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
Doug McDermott_203926_Chicago Bulls_1610612741,0.822,0.176,0.002
Luis Scola_2449_Toronto Raptors_1610612761,0.705,0.264,0.031
Jameer Nelson_2749__1610612743,0.332,0.326,0.342
O.J. Mayo_201564_Milwaukee Bucks_1610612749,0.639,0.29,0.072
Jerami Grant_203924_Philadelphia 76ers_1610612755,0.619,0.343,0.038
Jeremy Lamb_203087_Charlotte Hornets_1610612766,0.576,0.312,0.112
Ricky Rubio_201937_Minnesota Timberwolves_1610612750,0.435,0.309,0.256
Austin Rivers_203085_Los Angeles Clippers_1610612746,0.39,0.368,0.242
Kyle Korver_2594_Atlanta Hawks_1610612737,0.909,0.089,0.002
Rodney Stuckey_201155_Indiana Pacers_1610612754,0.403,0.455,0.143
Patty Mills_201988_San Antonio Spurs_1610612759,0.637,0.229,0.134
Jusuf Nurkic_203994_Denver Nuggets_1610612743,0.714,0.286,0
Kevin Martin_2755_San Antonio Spurs_1610612750,0.564,0.379,0.057
Jordan Hill_201941_Indiana Pacers_1610612754,0.646,0.261,0.093
Nikola Jokic_203999_Denver Nuggets_1610612743,0.691,0.269,0.04
Aaron Gordon_203932__1610612753,0.7,0.263,0.036
Manu Ginobili_1938_San Antonio Spurs_1610612759,0.553,0.336,0.111
Nik Stauskas_203917_Philadelphia 76ers_1610612755,0.672,0.279,0.05
Wayne Ellington_201961_Brooklyn Nets_1610612751,0.643,0.312,0.045
Gerald Henderson_201945_Portland Trail Blazers_1610612757,0.524,0.394,0.082
Mo Williams_2590__1610612739,0.351,0.351,0.298
Archie Goodwin_203462_Phoenix Suns_1610612756,0.362,0.49,0.148
Tony Allen_2754_Memphis Grizzlies_1610612763,0.639,0.321,0.041
Terrence Jones_203093_Houston Rockets_1610612745,0.621,0.33,0.049
Mario Chalmers_201596_Memphis Grizzlies_1610612763,0.372,0.336,0.291
Cory Joseph_202709__1610612761,0.258,0.422,0.319
Tim Duncan_1495_San Antonio Spurs_1610612759,0.707,0.252,0.041
Toney Douglas_201962_New Orleans Pelicans_1610612740,0.385,0.412,0.203
Ramon Sessions_201196_Washington Wizards_1610612764,0.406,0.359,0.235
Meyers Leonard_203086_Portland Trail Blazers_1610612757,0.837,0.158,0.005
Langston Galloway_204038_New York Knicks_1610612752,0.629,0.299,0.071
PJ Tucker_200782_Phoenix Suns_1610612756,0.636,0.332,0.033
Danny Green_201980_San Antonio Spurs_1610612759,0.805,0.191,0.004
Gorgui Dieng_203476_Minnesota Timberwolves_1610612750,0.708,0.273,0.019
Derrick Williams_202682_New York Knicks_1610612752,0.607,0.34,0.053
Bobby Portis_1626171_Chicago Bulls_1610612741,0.664,0.315,0.021
Darrell Arthur_201589_Denver Nuggets_1610612743,0.832,0.164,0.004
Jon Leuer_202720_Phoenix Suns_1610612756,0.72,0.273,0.006
Carl Landry_201171_Philadelphia 76ers_1610612755,0.767,0.225,0.008
Nick Young_201156__1610612747,0.616,0.352,0.032
Lance Stephenson_202362_Memphis Grizzlies_1610612763,0.304,0.5,0.196
Taj Gibson_201959_Chicago Bulls_1610612741,0.734,0.25,0.016
Aaron Brooks_201166__1610612741,0.245,0.409,0.345
Nene_2403_Washington Wizards_1610612764,0.576,0.354,0.07
Tyler Johnson_204020_Miami Heat_1610612748,0.558,0.281,0.161
Matthew Dellavedova_203521_Cleveland Cavaliers_1610612739,0.45,0.301,0.249
