PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
Enes Kanter_202683_Oklahoma City Thunder_1610612760,0.774,0.119,0.049,0.055,0.003
Marcus Smart_203935_Boston Celtics_1610612738,0.516,0.144,0.115,0.157,0.068
Terrence Ross_203082__1610612761,0.567,0.128,0.139,0.126,0.039
Raymond Felton_101109_Dallas Mavericks_1610612742,0.251,0.085,0.119,0.331,0.214
Gerald Green_101123_Miami Heat_1610612748,0.546,0.201,0.146,0.088,0.019
Dwight Howard_2730_Houston Rockets_1610612745,0.731,0.122,0.069,0.075,0.003
Jerryd Bayless_201573_Milwaukee Bucks_1610612749,0.5,0.147,0.085,0.17,0.099
Patrick Beverley_201976__1610612745,0.473,0.121,0.123,0.167,0.116
Allen Crabbe_203459_Portland Trail Blazers_1610612757,0.564,0.266,0.116,0.054,0
Shabazz Muhammad_203498_Minnesota Timberwolves_1610612750,0.528,0.23,0.124,0.11,0.009
Stanley Johnson_1626169_Detroit Pistons_1610612765,0.376,0.139,0.144,0.29,0.052
Gary Neal_202390__1610612764,0.333,0.228,0.201,0.185,0.052
Courtney Lee_201584_Charlotte Hornets_1610612763,0.48,0.227,0.111,0.149,0.033
Robin Lopez_201577_New York Knicks_1610612752,0.68,0.198,0.077,0.044,0.002
Kelly Olynyk_203482_Boston Celtics_1610612738,0.618,0.176,0.103,0.099,0.004
Alex Len_203458_Phoenix Suns_1610612756,0.698,0.205,0.079,0.015,0.003
Shelvin Mack_202714__1610612762,0.201,0.126,0.131,0.335,0.206
Doug McDermott_203926_Chicago Bulls_1610612741,0.629,0.186,0.126,0.058,0.002
Luis Scola_2449_Toronto Raptors_1610612761,0.656,0.115,0.1,0.117,0.012
Jameer Nelson_2749__1610612743,0.293,0.085,0.107,0.182,0.332
O.J. Mayo_201564_Milwaukee Bucks_1610612749,0.564,0.15,0.084,0.159,0.044
Jerami Grant_203924_Philadelphia 76ers_1610612755,0.503,0.212,0.139,0.127,0.018
Jeremy Lamb_203087_Charlotte Hornets_1610612766,0.478,0.133,0.124,0.186,0.078
Ricky Rubio_201937_Minnesota Timberwolves_1610612750,0.35,0.082,0.084,0.235,0.249
Austin Rivers_203085_Los Angeles Clippers_1610612746,0.335,0.087,0.097,0.236,0.244
Kyle Korver_2594_Atlanta Hawks_1610612737,0.7,0.214,0.061,0.025,0
Rodney Stuckey_201155_Indiana Pacers_1610612754,0.265,0.181,0.188,0.262,0.104
Patty Mills_201988_San Antonio Spurs_1610612759,0.5,0.124,0.077,0.136,0.163
