PLAYER_NAME,Overall,3 Pointers,2 Pointers,Less Than 6Ft,Less Than 10Ft,Greater Than 15Ft
Kenneth Faried_202702_Denver Nuggets_1610612743,0.057,0.078,0.047,0.053,0.052,0.058
Evan Turner_202323_Boston Celtics_1610612738,-0.019,-0.045,0.001,0.051,0.04,-0.037
Jeremy Lin_202391_Charlotte Hornets_1610612766,-0.016,0.008,-0.028,-0.044,-0.023,0.002
Hassan Whiteside_202355_Miami Heat_1610612748,-0.022,-0.066,-0.036,-0.108,-0.068,-0.048
Nikola Mirotic_202703_Chicago Bulls_1610612741,-0.001,0.004,-0.005,0.034,0.02,-0.005
Marvin Williams_101107_Charlotte Hornets_1610612766,0.0,-0.005,0.005,-0.036,-0.026,0.017
Matt Barnes_2440_Memphis Grizzlies_1610612763,0.036,0.059,0.039,0.056,0.056,0.043
Dion Waiters_203079__1610612760,-0.006,-0.018,0.012,0.003,-0.007,-0.007
Omri Casspi_201956_Sacramento Kings_1610612758,0.035,-0.029,0.068,0.085,0.064,0.0
Ersan Ilyasova_101141_Orlando Magic_1610612753,0.049,0.0,0.056,0.029,0.033,0.038
Jonas Valanciunas_202685_Toronto Raptors_1610612761,-0.004,0.05,-0.022,-0.04,-0.041,0.011
Marcus Thornton_201977_Houston Rockets_1610612745,0.023,-0.069,0.09,0.059,0.1,-0.032
Myles Turner_1626167_Indiana Pacers_1610612754,-0.025,0.0,-0.039,-0.096,-0.046,-0.043
Hollis Thompson_203138_Philadelphia 76ers_1610612755,0.019,-0.025,0.031,0.038,0.027,0.01
Al-Farouq Aminu_202329__1610612757,0.006,-0.025,0.024,-0.01,0.009,0.006
Nerlens Noel_203457_Philadelphia 76ers_1610612755,0.003,0.043,-0.01,-0.079,-0.039,0.032
Sean Kilpatrick_203930_Brooklyn Nets_1610612751,0.059,0.032,0.09,0.125,0.118,0.026
Enes Kanter_202683_Oklahoma City Thunder_1610612760,-0.004,0.031,-0.022,-0.036,-0.025,0.012
Marcus Smart_203935_Boston Celtics_1610612738,-0.004,0.015,0.004,-0.019,0.001,0.028
Terrence Ross_203082__1610612761,-0.04,-0.005,-0.058,-0.006,-0.04,-0.02
Raymond Felton_101109_Dallas Mavericks_1610612742,-0.018,-0.019,-0.006,0.058,0.029,-0.025
Gerald Green_101123_Miami Heat_1610612748,-0.033,-0.003,-0.047,-0.011,-0.004,-0.021
Dwight Howard_2730_Houston Rockets_1610612745,0.007,-0.018,-0.002,-0.019,-0.001,0.007
Jerryd Bayless_201573_Milwaukee Bucks_1610612749,-0.004,-0.016,0.017,0.042,0.027,-0.001
Patrick Beverley_201976__1610612745,-0.003,-0.006,0.011,0.067,0.048,-0.007
Allen Crabbe_203459_Portland Trail Blazers_1610612757,-0.011,0.045,-0.041,-0.013,0.013,0.002
Shabazz Muhammad_203498_Minnesota Timberwolves_1610612750,0.045,0.073,0.041,0.02,0.039,0.05
Stanley Johnson_1626169_Detroit Pistons_1610612765,0.012,0.018,0.007,0.057,0.032,0.01
Gary Neal_202390__1610612764,0.068,0.052,0.092,0.171,0.154,0.058
Courtney Lee_201584_Charlotte Hornets_1610612763,-0.017,0.0,-0.016,0.084,0.051,-0.029
Robin Lopez_201577_New York Knicks_1610612752,-0.006,0.031,-0.019,-0.108,-0.072,0.088
Kelly Olynyk_203482_Boston Celtics_1610612738,-0.025,-0.009,-0.031,-0.014,-0.027,-0.043
