PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
Al Jefferson_2744__1610612766,0.6,0.9,5.2,3.0,5.4,0.551
Chandler Parsons_202718_Dallas Mavericks_1610612742,0.8,0.3,4.2,0.8,1.6,0.5
Robert Covington_203496_Philadelphia 76ers_1610612755,1.6,0.6,5.3,2.2,3.9,0.562
Joe Johnson_2207__1610612748,0.8,0.0,3.0,0.8,1.6,0.531
Trevor Ariza_2772_Houston Rockets_1610612745,2.0,0.3,3.7,1.1,2.1,0.533
Darren Collison_201954_Sacramento Kings_1610612758,1.0,0.0,1.9,0.6,0.8,0.695
DeMarre Carroll_201960_Toronto Raptors_1610612761,1.7,0.2,3.5,1.6,2.4,0.661
Lou Williams_101150_Los Angeles Lakers_1610612747,0.9,0.3,2.1,0.8,1.4,0.589
Julius Randle_203944_Los Angeles Lakers_1610612747,0.7,0.4,8.1,2.6,4.7,0.563
Jeff Green_201145_Los Angeles Clippers_1610612763,0.7,0.5,3.2,1.7,3.2,0.528
Michael Carter-Williams_203487_Milwaukee Bucks_1610612749,1.5,0.8,4.2,1.4,2.5,0.547
Michael Beasley_201563_Houston Rockets_1610612745,0.6,0.5,3.5,1.8,3.5,0.507
Marcin Gortat_101162_Washington Wizards_1610612764,0.6,1.3,6.9,4.0,7.9,0.508
Luol Deng_2736_Miami Heat_1610612748,1.0,0.4,4.5,2.2,4.0,0.565
Gary Harris_203914_Denver Nuggets_1610612743,1.3,0.2,2.2,1.0,1.8,0.578
Draymond Green_203110_Golden State Warriors_1610612744,1.5,1.4,7.8,3.0,6.4,0.466
Elfrid Payton_203901_Orlando Magic_1610612753,1.2,0.3,2.5,1.3,2.1,0.644
Jared Sullinger_203096_Boston Celtics_1610612738,0.9,0.6,6.0,3.1,5.7,0.543
George Hill_201588_Indiana Pacers_1610612754,1.1,0.2,3.2,0.9,1.6,0.547
Trey Burke_203504__1610612762,0.5,0.1,1.5,0.7,1.1,0.632
CJ Miles_101139__1610612754,0.8,0.5,2.3,1.1,2.3,0.486
Tony Parker_2225_San Antonio Spurs_1610612759,0.8,0.2,2.2,0.8,1.2,0.652
Mirza Teletovic_203141_Phoenix Suns_1610612756,0.4,0.3,3.1,2.2,3.9,0.553
Dennis Schroder_203471_Atlanta Hawks_1610612737,0.9,0.1,2.2,0.5,1.2,0.448
Kent Bazemore_203145_Atlanta Hawks_1610612737,1.3,0.5,4.7,1.1,2.0,0.55
Otto Porter_203490_Washington Wizards_1610612764,1.4,0.4,3.9,1.3,2.3,0.555
Jose Juan Barea_200826_Dallas Mavericks_1610612742,0.4,0.0,1.7,0.4,0.7,0.569
Harrison Barnes_203084_Golden State Warriors_1610612744,0.6,0.2,3.8,2.0,3.3,0.593
Bojan Bogdanovic_202711_Brooklyn Nets_1610612751,0.4,0.1,2.8,1.4,2.1,0.652
Isaiah Canaan_203477_Philadelphia 76ers_1610612755,0.7,0.2,2.0,0.7,1.3,0.582
TJ Warren_203933_Phoenix Suns_1610612756,0.8,0.3,1.9,0.9,1.7,0.532
Marco Belinelli_201158_Sacramento Kings_1610612758,0.6,0.0,1.6,0.8,1.2,0.63
Kenneth Faried_202702_Denver Nuggets_1610612743,0.5,0.9,5.2,3.0,5.3,0.57
Evan Turner_202323_Boston Celtics_1610612738,1.0,0.4,4.3,1.6,3.1,0.531
Jeremy Lin_202391_Charlotte Hornets_1610612766,0.7,0.5,2.7,1.1,2.0,0.558
Hassan Whiteside_202355_Miami Heat_1610612748,0.6,3.7,8.6,4.9,10.5,0.469
Nikola Mirotic_202703_Chicago Bulls_1610612741,0.9,0.7,4.6,2.1,4.2,0.509
Marvin Williams_101107_Charlotte Hornets_1610612766,0.7,1.0,4.9,2.1,4.8,0.452
Matt Barnes_2440_Memphis Grizzlies_1610612763,1.0,0.8,4.4,1.4,2.4,0.573
Dion Waiters_203079__1610612760,1.0,0.2,2.1,0.9,1.7,0.522
Omri Casspi_201956_Sacramento Kings_1610612758,0.8,0.2,5.1,1.9,3.0,0.635
Ersan Ilyasova_101141_Orlando Magic_1610612753,0.7,0.4,3.5,2.6,4.4,0.602
Jonas Valanciunas_202685_Toronto Raptors_1610612761,0.4,1.3,6.1,4.0,7.7,0.522
Marcus Thornton_201977_Houston Rockets_1610612745,0.8,0.1,1.8,0.5,0.8,0.66
Myles Turner_1626167_Indiana Pacers_1610612754,0.4,1.4,4.4,3.6,7.1,0.507
Hollis Thompson_203138_Philadelphia 76ers_1610612755,0.5,0.3,2.8,1.2,2.3,0.517
