PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
Matt Barnes_2440_Memphis Grizzlies_1610612763,0.08,0.44,0.08,0.1,0.1,0.04,0.535
Dion Waiters_203079__1610612760,0.265,0.296,0.235,0.0,0.01,0.031,0.342
Omri Casspi_201956_Sacramento Kings_1610612758,0.203,0.305,0.11,0.093,0.11,0.017,0.441
Ersan Ilyasova_101141_Orlando Magic_1610612753,0.067,0.385,0.115,0.135,0.154,0.029,0.391
Jonas Valanciunas_202685_Toronto Raptors_1610612761,0.008,0.07,0.008,0.43,0.5,0.023,0.0
Marcus Thornton_201977_Houston Rockets_1610612745,0.124,0.371,0.237,0.031,0.041,0.062,0.498
Myles Turner_1626167_Indiana Pacers_1610612754,0.029,0.291,0.078,0.311,0.398,0.078,0.025
Hollis Thompson_203138_Philadelphia 76ers_1610612755,0.143,0.622,0.082,0.051,0.051,0.02,0.581
Al-Farouq Aminu_202329__1610612757,0.147,0.451,0.098,0.078,0.069,0.029,0.482
Nerlens Noel_203457_Philadelphia 76ers_1610612755,0.072,0.063,0.036,0.387,0.414,0.063,0.003
Sean Kilpatrick_203930_Brooklyn Nets_1610612751,0.18,0.324,0.162,0.045,0.054,0.081,0.422
Enes Kanter_202683_Oklahoma City Thunder_1610612760,0.024,0.134,0.016,0.291,0.339,0.047,0.028
Marcus Smart_203935_Boston Celtics_1610612738,0.187,0.22,0.198,0.099,0.099,0.022,0.456
Terrence Ross_203082__1610612761,0.07,0.53,0.25,0.01,0.02,0.07,0.54
Raymond Felton_101109_Dallas Mavericks_1610612742,0.411,0.179,0.232,0.032,0.032,0.032,0.312
Gerald Green_101123_Miami Heat_1610612748,0.169,0.427,0.225,0.011,0.022,0.045,0.44
Dwight Howard_2730_Houston Rockets_1610612745,0.007,0.0,0.0,0.518,0.555,0.022,0.01
Jerryd Bayless_201573_Milwaukee Bucks_1610612749,0.173,0.49,0.192,0.019,0.019,0.01,0.528
Patrick Beverley_201976__1610612745,0.222,0.404,0.192,0.02,0.02,0.01,0.522
Allen Crabbe_203459_Portland Trail Blazers_1610612757,0.049,0.466,0.223,0.039,0.039,0.029,0.423
Shabazz Muhammad_203498_Minnesota Timberwolves_1610612750,0.133,0.181,0.048,0.152,0.181,0.048,0.225
Stanley Johnson_1626169_Detroit Pistons_1610612765,0.21,0.272,0.222,0.049,0.049,0.012,0.342
Gary Neal_202390__1610612764,0.184,0.255,0.408,0.02,0.02,0.041,0.309
Courtney Lee_201584_Charlotte Hornets_1610612763,0.146,0.385,0.219,0.042,0.042,0.063,0.34
Robin Lopez_201577_New York Knicks_1610612752,0.01,0.058,0.029,0.379,0.427,0.049,0.002
Kelly Olynyk_203482_Boston Celtics_1610612738,0.143,0.357,0.082,0.153,0.173,0.051,0.377
Alex Len_203458_Phoenix Suns_1610612756,0.022,0.156,0.022,0.356,0.456,0.089,0.011
Shelvin Mack_202714__1610612762,0.384,0.151,0.279,0.035,0.035,0.012,0.301
Doug McDermott_203926_Chicago Bulls_1610612741,0.096,0.436,0.17,0.074,0.096,0.032,0.404
Luis Scola_2449_Toronto Raptors_1610612761,0.103,0.356,0.057,0.115,0.149,0.046,0.268
Jameer Nelson_2749__1610612743,0.221,0.221,0.442,0.0,0.0,0.013,0.469
O.J. Mayo_201564_Milwaukee Bucks_1610612749,0.077,0.462,0.244,0.0,0.026,0.026,0.505
Jerami Grant_203924_Philadelphia 76ers_1610612755,0.289,0.155,0.021,0.165,0.216,0.041,0.244
Jeremy Lamb_203087_Charlotte Hornets_1610612766,0.216,0.273,0.205,0.08,0.08,0.034,0.355
Ricky Rubio_201937_Minnesota Timberwolves_1610612750,0.218,0.238,0.228,0.0,0.0,0.01,0.324
Austin Rivers_203085_Los Angeles Clippers_1610612746,0.326,0.247,0.202,0.067,0.067,0.022,0.359
Kyle Korver_2594_Atlanta Hawks_1610612737,0.011,0.62,0.25,0.043,0.033,0.022,0.647
Rodney Stuckey_201155_Indiana Pacers_1610612754,0.258,0.124,0.247,0.045,0.034,0.022,0.188
Patty Mills_201988_San Antonio Spurs_1610612759,0.059,0.459,0.306,0.047,0.059,0.0,0.523
Jusuf Nurkic_203994_Denver Nuggets_1610612743,0.024,0.073,0.012,0.415,0.476,0.049,0.012
Kevin Martin_2755_San Antonio Spurs_1610612750,0.151,0.28,0.183,0.032,0.054,0.054,0.333
Jordan Hill_201941_Indiana Pacers_1610612754,0.011,0.182,0.045,0.239,0.307,0.091,0.002
