PLAYER_NAME,0-2 Feet - Very Tight,2-4 Feet - Tight,4-6 Feet - Open,6+ Feet - Wide Open
Toney Douglas_201962_New Orleans Pelicans_1610612740,0.03,0.168,0.27,0.251
Ramon Sessions_201196_Washington Wizards_1610612764,0.042,0.074,0.135,0.139
Meyers Leonard_203086_Portland Trail Blazers_1610612757,0.012,0.105,0.298,0.405
Langston Galloway_204038_New York Knicks_1610612752,0.024,0.184,0.306,0.182
PJ Tucker_200782_Phoenix Suns_1610612756,0.017,0.064,0.155,0.234
Danny Green_201980_San Antonio Spurs_1610612759,0.023,0.147,0.284,0.335
Gorgui Dieng_203476_Minnesota Timberwolves_1610612750,0.014,0.079,0.173,0.161
Derrick Williams_202682_New York Knicks_1610612752,0.009,0.115,0.241,0.161
Bobby Portis_1626171_Chicago Bulls_1610612741,0.016,0.101,0.182,0.207
Darrell Arthur_201589_Denver Nuggets_1610612743,0.006,0.135,0.295,0.279
Jon Leuer_202720_Phoenix Suns_1610612756,0.011,0.118,0.185,0.215
Carl Landry_201171_Philadelphia 76ers_1610612755,0.008,0.056,0.285,0.185
Nick Young_201156__1610612747,0.046,0.441,0.339,0.126
Lance Stephenson_202362_Memphis Grizzlies_1610612763,0.011,0.08,0.236,0.152
Taj Gibson_201959_Chicago Bulls_1610612741,0.006,0.09,0.156,0.04
Aaron Brooks_201166__1610612741,0.036,0.243,0.258,0.081
Nene_2403_Washington Wizards_1610612764,0.013,0.018,0.164,0.143
Tyler Johnson_204020_Miami Heat_1610612748,0.017,0.116,0.26,0.182
Matthew Dellavedova_203521_Cleveland Cavaliers_1610612739,0.033,0.196,0.249,0.268
Corey Brewer_201147_Houston Rockets_1610612745,0.005,0.102,0.193,0.227
Ben McLemore_203463_Sacramento Kings_1610612758,0.011,0.1,0.256,0.241
E'Twaun Moore_202734_Chicago Bulls_1610612741,0.018,0.172,0.242,0.149
DeAndre Jordan_201599_Los Angeles Clippers_1610612746,0,0.004,0.004,0.01
Jason Smith_201160_Orlando Magic_1610612753,0.006,0.1,0.385,0.316
Frank Kaminsky_1626163_Charlotte Hornets_1610612766,0.01,0.044,0.112,0.328
Lance Thomas_202498_New York Knicks_1610612752,0.021,0.131,0.209,0.257
Wesley Johnson_202325_Los Angeles Clippers_1610612746,0.019,0.159,0.361,0.291
Joffrey Lauvergne_203530_Denver Nuggets_1610612743,0,0.024,0.137,0.193
Shane Larkin_203499_Brooklyn Nets_1610612751,0.032,0.148,0.226,0.174
Josh Smith_2746_Houston Rockets_1610612745,0.006,0.043,0.169,0.318
Marreese Speights_201578_Golden State Warriors_1610612744,0.011,0.116,0.224,0.253
JaMychal Green_203210_Memphis Grizzlies_1610612763,0.002,0.049,0.199,0.15
Garrett Temple_202066_Washington Wizards_1610612764,0.008,0.081,0.271,0.311
Brandon Jennings_201943__1610612765,0.026,0.224,0.363,0.168
Ian Mahinmi_101133_Indiana Pacers_1610612754,0.002,0.016,0.036,0.074
Mason Plumlee_203486_Portland Trail Blazers_1610612757,0.014,0.028,0.039,0.026
Jose Calderon_101181_New York Knicks_1610612752,0.033,0.265,0.403,0.188
Patrick Patterson_202335_Toronto Raptors_1610612761,0.004,0.134,0.245,0.351
Zaza Pachulia_2585_Dallas Mavericks_1610612742,0.002,0.038,0.081,0.17
PJ Hairston_203798__1610612766,0.025,0.138,0.31,0.243
David Lee_101135_Boston Celtics_1610612742,0.003,0.012,0.058,0.027
Luke Babbitt_202337__1610612740,0.004,0.107,0.16,0.235
Mike Dunleavy_2399_Chicago Bulls_1610612741,0.005,0.166,0.257,0.251
Andrea Bargnani_200745_Brooklyn Nets_1610612751,0.014,0.144,0.31,0.3
Jared Dudley_201162_Washington Wizards_1610612764,0.004,0.097,0.345,0.402
Greivis Vasquez_202349__1610612749,0.029,0.159,0.297,0.239
Cody Zeller_203469_Charlotte Hornets_1610612766,0.005,0.016,0.055,0.133
Justise Winslow_1626159_Miami Heat_1610612748,0.002,0.048,0.141,0.235
Randy Foye_200751__1610612743,0.021,0.198,0.328,0.187
Paul Pierce_1718__1610612746,0.043,0.264,0.353,0.224
Devin Harris_2734_Dallas Mavericks_1610612742,0.011,0.113,0.247,0.202
Rudy Gobert_203497_Utah Jazz_1610612762,0.003,0.014,0.017,0.02
David West_2561_San Antonio Spurs_1610612759,0.004,0.047,0.219,0.255
TJ McConnell_204456_Philadelphia 76ers_1610612755,0.022,0.209,0.205,0.168
Donald Sloan_202388_Brooklyn Nets_1610612751,0.029,0.175,0.212,0.095
Vince Carter_1713_Memphis Grizzlies_1610612763,0.012,0.184,0.353,0.146
Kosta Koufos_201585_Sacramento Kings_1610612758,0.005,0.021,0.048,0.025
D.J. Augustin_201571__1610612760,0.023,0.18,0.254,0.18
Andre Iguodala_2738_Golden State Warriors_1610612744,0.019,0.142,0.295,0.175
Iman Shumpert_202697__1610612739,0.026,0.142,0.317,0.261
Andrew Nicholson_203094_Orlando Magic_1610612753,0.003,0.059,0.111,0.313
Kris Humphries_2743_Washington Wizards_1610612764,0.01,0.061,0.207,0.395
Donatas Motiejunas_202700_Houston Rockets_1610612745,0.005,0.039,0.137,0.206
Leandro Barbosa_2571_Golden State Warriors_1610612744,0.022,0.092,0.203,0.189
Trey Lyles_1626168_Utah Jazz_1610612762,0.023,0.103,0.179,0.306
Amir Johnson_101161_Boston Celtics_1610612738,0.002,0.014,0.062,0.064
Alexis Ajinca_201582_New Orleans Pelicans_1610612740,0.006,0.071,0.19,0.206
Spencer Hawes_201150_Charlotte Hornets_1610612766,0.016,0.079,0.161,0.305
Ty Lawson_201951__1610612745,0.008,0.139,0.289,0.241
Mario Hezonja_1626209_Orlando Magic_1610612753,0.007,0.164,0.338,0.222
Tony Snell_203503_Chicago Bulls_1610612741,0.009,0.13,0.286,0.227
Charlie Villanueva_101111_Dallas Mavericks_1610612742,0.009,0.101,0.226,0.28
Steven Adams_203500_Oklahoma City Thunder_1610612760,0.002,0.014,0.017,0.009
Maurice Harkless_203090_Portland Trail Blazers_1610612757,0.007,0.049,0.126,0.219
Josh Richardson_1626196_Miami Heat_1610612748,0.029,0.188,0.298,0.151
Willie Cauley-Stein_1626161_Sacramento Kings_1610612758,0,0.018,0.059,0.068
Dante Cunningham_201967_New Orleans Pelicans_1610612740,0.005,0.1,0.2,0.32
Tim Hardaway Jr._203501__1610612737,0.027,0.144,0.284,0.261
Jason Terry_1891__1610612745,0.029,0.249,0.308,0.257
Markel Brown_203900_Brooklyn Nets_1610612751,0.013,0.166,0.297,0.169
Raul Neto_203526_Utah Jazz_1610612762,0.019,0.108,0.329,0.177
Clint Capela_203991_Houston Rockets_1610612745,0,0.003,0.003,0
Jerian Grant_1626170_New York Knicks_1610612752,0.038,0.156,0.197,0.138
Seth Curry_203552__1610612758,0.041,0.245,0.273,0.218
John Henson_203089_Milwaukee Bucks_1610612749,0.007,0.045,0.017,0.014
Tristan Thompson_202684_Cleveland Cavaliers_1610612739,0.005,0.024,0.017,0.022
Mike Scott_203118_Atlanta Hawks_1610612737,0.003,0.061,0.187,0.323
Metta World Peace_1897__1610612747,0.006,0.119,0.254,0.271
