PLAYER_NAME,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED_OFF,AVG_SPEED_DEF
Donatas Motiejunas_202700_Houston Rockets_1610612745,0.56,0.53,4.74,4.14
Leandro Barbosa_2571_Golden State Warriors_1610612744,0.63,0.51,4.84,3.78
Trey Lyles_1626168_Utah Jazz_1610612762,0.68,0.54,4.43,3.94
Amir Johnson_101161_Boston Celtics_1610612738,0.78,0.75,4.33,3.75
Alexis Ajinca_201582_New Orleans Pelicans_1610612740,0.52,0.46,4.4,3.66
Spencer Hawes_201150_Charlotte Hornets_1610612766,0.68,0.54,4.44,3.66
Ty Lawson_201951__1610612745,0.79,0.73,4.52,3.97
Mario Hezonja_1626209_Orlando Magic_1610612753,0.73,0.62,4.94,4.09
Tony Snell_203503_Chicago Bulls_1610612741,0.76,0.66,4.55,3.83
Charlie Villanueva_101111_Dallas Mavericks_1610612742,0.41,0.34,4.56,3.82
Steven Adams_203500_Oklahoma City Thunder_1610612760,0.97,0.8,4.76,3.68
Maurice Harkless_203090_Portland Trail Blazers_1610612757,0.74,0.62,4.67,4.07
Josh Richardson_1626196_Miami Heat_1610612748,0.83,0.7,4.47,4.07
Willie Cauley-Stein_1626161_Sacramento Kings_1610612758,0.85,0.76,4.86,4.14
Dante Cunningham_201967_New Orleans Pelicans_1610612740,0.98,0.86,4.92,4.06
Tim Hardaway Jr._203501__1610612737,0.62,0.58,4.6,3.88
Jason Terry_1891__1610612745,0.65,0.6,4.66,3.91
Markel Brown_203900_Brooklyn Nets_1610612751,0.58,0.54,4.45,3.99
Raul Neto_203526_Utah Jazz_1610612762,0.77,0.61,4.73,4.15
Clint Capela_203991_Houston Rockets_1610612745,0.7,0.66,4.6,3.97
Jerian Grant_1626170_New York Knicks_1610612752,0.65,0.55,4.58,4.01
Seth Curry_203552__1610612758,0.58,0.52,4.63,3.89
John Henson_203089_Milwaukee Bucks_1610612749,0.58,0.56,4.25,3.88
Tristan Thompson_202684_Cleveland Cavaliers_1610612739,1.06,0.89,4.46,4.01
Mike Scott_203118_Atlanta Hawks_1610612737,0.59,0.53,4.79,3.96
Metta World Peace_1897__1610612747,0.59,0.54,4.28,3.78
Boris Diaw_2564_San Antonio Spurs_1610612759,0.72,0.56,4.6,3.81
Roy Hibbert_201579_Los Angeles Lakers_1610612747,0.84,0.71,4.17,3.86
Channing Frye_101112_Orlando Magic_1610612753,0.62,0.5,4.34,3.54
Thabo Sefolosha_200757_Atlanta Hawks_1610612737,0.85,0.8,4.52,3.96
Festus Ezeli_203105_Golden State Warriors_1610612744,0.64,0.57,4.85,3.86
Trevor Booker_202344_Utah Jazz_1610612762,0.83,0.65,4.57,3.96
Anthony Morrow_201627_Oklahoma City Thunder_1610612760,0.51,0.42,4.48,3.71
Tyler Zeller_203092_Boston Celtics_1610612738,0.45,0.39,4.67,3.82
Shaun Livingston_2733_Golden State Warriors_1610612744,0.78,0.63,4.97,3.75
Cameron Payne_1626166__1610612760,0.5,0.4,4.78,4.03
Ronnie Price_101179__1610612756,0.76,0.69,4.69,4.17
Brandon Bass_101138_Los Angeles Lakers_1610612747,0.76,0.64,4.42,3.82
Norman Powell_1626181_Toronto Raptors_1610612761,0.61,0.48,4.63,4.1
Larry Nance Jr._1626204_Los Angeles Lakers_1610612747,0.83,0.66,4.79,4.05
Rondae Hollis-Jefferson_1626178_Brooklyn Nets_1610612751,0.81,0.76,4.64,4.22
Tyson Chandler_2199_Phoenix Suns_1610612756,0.83,0.75,4.03,3.69
Timofey Mozgov_202389_Cleveland Cavaliers_1610612739,0.7,0.57,4.77,3.99
Aron Baynes_203382_Detroit Pistons_1610612765,0.54,0.47,4.21,3.78
Lavoy Allen_202730_Indiana Pacers_1610612754,0.73,0.65,4.35,3.81
Anthony Tolliver_201229_Detroit Pistons_1610612765,0.71,0.57,4.54,3.66
Tim Frazier_204025__1610612740,0.57,0.47,4.7,3.83
Joakim Noah_201149_Chicago Bulls_1610612741,0.86,0.71,4.73,3.82
Chris McCullough_1626191_Brooklyn Nets_1610612751,0.64,0.53,5.14,4.12
Sasha Vujacic_2756__1610612752,0.61,0.49,4.78,4.04
Beno Udrih_2757__1610612748,0.7,0.5,5.09,3.78
JJ Hickson_201581_Washington Wizards_1610612743,0.46,0.39,4.34,3.76
Jonathon Simmons_203613_San Antonio Spurs_1610612759,0.59,0.46,4.61,3.92
Richaun Holmes_1626158_Philadelphia 76ers_1610612755,0.52,0.45,4.54,3.89
Troy Daniels_203584__1610612766,0.47,0.38,4.96,4.14
JaKarr Sampson_203960_Denver Nuggets_1610612755,0.61,0.55,4.65,4.06
Marcelo Huertas_1626273_Los Angeles Lakers_1610612747,0.65,0.55,4.8,3.99
Justin Holiday_203200__1610612741,0.55,0.49,4.68,3.93
Tyus Jones_1626145__1610612750,0.6,0.55,4.78,4.17
Anthony Brown_1626148__1610612747,0.79,0.69,4.48,4.13
Jarell Martin_1626185_Memphis Grizzlies_1610612763,0.55,0.46,4.63,4.01
Tiago Splitter_201168_Atlanta Hawks_1610612737,0.58,0.53,4.46,3.85
Dwight Powell_203939_Dallas Mavericks_1610612742,0.59,0.48,4.86,4.02
Amar'e Stoudemire_2405_Miami Heat_1610612748,0.52,0.45,4.16,3.77
Kevin Seraphin_202338_New York Knicks_1610612752,0.42,0.35,4.57,3.87
James Johnson_201949_Toronto Raptors_1610612761,0.61,0.51,4.32,3.9
Richard Jefferson_2210_Cleveland Cavaliers_1610612739,0.61,0.56,3.97,3.89
Kyle O'Quinn_203124_New York Knicks_1610612752,0.42,0.35,4.2,3.67
CJ Watson_201228__1610612753,0.8,0.68,4.98,3.97
Steve Blake_2581__1610612765,0.71,0.53,4.89,3.76
Ryan Kelly_203527_Los Angeles Lakers_1610612747,0.47,0.41,4.53,3.65
Thomas Robinson_203080_Brooklyn Nets_1610612751,0.49,0.42,4.44,3.95
Ed Davis_202334_Portland Trail Blazers_1610612757,0.78,0.65,4.39,3.88
Tyler Ennis_203898__1610612749,0.57,0.48,4.84,4.03
Andrew Bogut_101106_Golden State Warriors_1610612744,0.68,0.62,4.19,3.4
JaVale McGee_201580_Dallas Mavericks_1610612742,0.39,0.34,4.28,3.85
Andre Roberson_203460_Oklahoma City Thunder_1610612760,0.85,0.82,4.77,4.27
Nemanja Bjelica_202357_Minnesota Timberwolves_1610612750,0.69,0.57,4.67,3.78
Kendall Marshall_203088__1610612755,0.52,0.42,4.71,3.76
Miles Plumlee_203101_Milwaukee Bucks_1610612749,0.53,0.5,4.56,4.12
Kyle Anderson_203937_San Antonio Spurs_1610612759,0.64,0.49,4.64,3.81
Rashad Vaughn_1626173__1610612749,0.53,0.51,4.45,4.23
Cole Aldrich_202332_Los Angeles Clippers_1610612746,0.49,0.42,4.39,3.83
John Jenkins_203098__1610612756,0.44,0.38,4.63,4.1
Jonas Jerebko_201973_Boston Celtics_1610612738,0.59,0.5,4.76,3.91
Shabazz Napier_203894__1610612753,0.43,0.38,4.77,4.1
Quincy Acy_203112_Sacramento Kings_1610612758,0.55,0.51,4.51,4.02
Chase Budinger_201978_Indiana Pacers_1610612756,0.55,0.46,4.7,3.88
Brandon Rush_201575_Golden State Warriors_1610612744,0.58,0.51,4.91,4.03
Joe Ingles_204060__1610612762,0.59,0.47,4.35,3.87
Noah Vonleh_203943_Portland Trail Blazers_1610612757,0.59,0.48,4.64,3.95
Ray McCallum_203492_San Antonio Spurs_1610612763,0.52,0.39,5.15,4.18
Josh McRoberts_201177_Miami Heat_1610612748,0.55,0.41,4.59,3.54
Solomon Hill_203524_Indiana Pacers_1610612754,0.53,0.47,4.41,3.76
James Anderson_202341__1610612758,0.55,0.49,4.71,4.06
